SequenceName	ClusterNumber
1542	-1
1368	1
1371	1
1372	-1
1369	2
1370	2
1365	2
1366	2
1376	2
1367	2
1705	3
1711	3
1702	3
1706	3
1708	3
1568	4
1567	4
1564	4
1914	4
1569	4
1718	4
1570	4
1566	4
1565	4
1540	5
1534	5
1536	5
1533	5
1527	5
1529	5
1539	5
1535	5
1526	6
1524	6
1525	6
1531	6
1537	6
1532	6
1530	6
1523	6
1538	6
1291	-1
1305	7
1306	7
1297	7
1294	-1
1303	8
1299	8
1302	8
1300	9
1296	9
1292	9
1301	10
1304	10
1293	10
1295	10
1298	10
1578	11
1579	11
1528	-1
1375	12
1364	12
1373	12
1377	13
1374	13
1614	-1
1710	-1
1277	-1
1279	-1
1276	-1
1278	-1
1592	14
1551	14
1497	-1
1513	15
1512	15
1516	15
1492	-1
1517	16
1502	16
1507	16
1506	16
1521	-1
1508	17
1509	17
1491	17
1501	17
1500	17
1499	17
1498	17
1925	-1
1515	-1
1522	18
1921	18
1510	19
1518	19
1520	19
1698	20
1652	20
1713	21
1904	21
1514	-1
1496	22
1650	22
1703	22
1493	22
1494	22
1495	22
1519	22
1719	22
1505	22
1649	22
1660	22
1503	22
1504	22
1653	22
1651	22
1511	22
1654	22
1648	22
1617	-1
1624	-1
1900	-1
1899	23
1889	23
1902	-1
1896	-1
1895	-1
1893	24
1897	24
1901	-1
1898	-1
1813	25
1843	25
1866	26
1863	26
1865	26
1862	26
1864	26
1859	26
1844	-1
1806	-1
1846	-1
1753	27
1751	27
1849	27
1892	27
1869	28
1860	28
1861	28
1792	29
1868	29
1854	-1
1850	30
1848	30
1894	-1
1845	31
1851	31
1800	32
1821	32
1855	32
1820	32
1811	32
1759	32
1778	32
1816	33
1805	33
1814	33
1779	33
1762	33
1819	33
1776	33
1772	33
1749	-1
1790	34
1794	34
1795	34
1930	34
1822	34
1823	34
1872	34
1764	-1
1769	35
1748	35
1765	36
1754	36
1746	37
1763	37
1756	37
1758	38
1768	38
1767	38
1761	39
1920	39
1871	39
1931	40
1760	40
1853	40
1929	41
1788	41
1808	41
1757	42
1745	42
1774	42
1771	43
1770	43
1766	43
1747	-1
1752	44
1750	44
1802	45
1799	45
1744	45
1804	45
1801	45
1873	45
1880	45
1777	46
1791	46
1803	-1
1809	-1
1789	-1
1810	47
1773	47
1780	47
1787	47
1817	-1
1818	48
1812	48
1807	49
1797	49
1783	49
1782	49
1781	49
1796	49
1775	49
1793	49
1815	50
1786	50
1785	50
1784	-1
1842	-1
1755	-1
1888	-1
1891	51
1890	51
1798	-1
1847	-1
1887	-1
1903	-1
1852	-1
1923	-1
1836	52
1834	52
1835	52
1927	53
1926	53
