SequenceName	ClusterNumber
37	1
249	1
227	1
250	1
208	1
248	1
81	1
185	1
251	1
80	1
79	1
210	1
234	1
145	2
149	2
84	2
18	2
76	2
82	2
17	2
83	2
85	2
87	2
89	2
223	2
233	2
75	2
118	2
74	2
206	2
174	2
176	2
92	2
91	2
204	2
72	2
71	2
177	2
97	2
95	2
86	2
148	2
179	2
220	2
181	2
175	2
94	2
73	2
180	2
172	2
173	2
101	2
217	2
38	2
182	2
178	2
183	2
90	2
88	2
98	2
100	2
93	2
96	2
39	3
78	3
207	3
192	3
16	3
19	3
15	3
21	3
224	3
161	3
162	3
240	3
160	3
225	3
237	3
236	3
235	3
197	4
247	4
252	4
203	4
77	4
244	4
226	4
131	4
132	4
20	4
141	4
139	4
137	4
138	4
245	4
133	4
99	4
140	4
194	4
168	4
242	4
134	4
130	4
129	4
127	4
128	4
166	4
165	4
144	4
246	4
241	4
65	4
69	4
67	4
66	4
70	4
135	4
136	4
143	4
142	4
64	4
63	4
59	4
68	4
60	4
48	4
57	4
61	4
46	4
202	4
42	4
45	4
54	4
198	4
56	4
49	4
62	4
58	4
47	4
55	4
53	4
52	4
43	4
51	4
50	4
164	4
44	4
169	5
215	5
221	5
193	5
243	5
214	5
216	5
213	5
212	5
110	5
114	5
113	5
112	5
120	5
1	5
0	5
108	5
111	5
107	5
119	5
121	5
187	5
151	5
163	5
195	5
196	5
109	5
238	5
150	5
115	5
232	5
184	5
126	5
117	5
116	5
191	5
146	5
147	5
186	5
189	5
125	5
124	5
154	5
209	5
211	5
188	5
190	5
155	5
153	5
25	6
36	6
230	6
34	6
231	6
33	6
32	6
200	6
199	6
201	6
219	6
205	6
10	6
9	6
123	6
40	6
2	6
7	6
152	6
122	6
218	6
157	6
158	6
156	6
159	6
103	6
41	6
3	6
13	6
8	6
229	6
228	6
104	6
6	6
11	6
171	6
31	6
4	6
5	6
26	6
22	6
105	6
106	6
24	6
29	6
27	6
167	6
28	6
23	6
30	6
14	7
