SequenceName	ClusterNumber
72	1
55	1
108	1
177	1
70	1
68	1
146	1
8	1
44	1
48	1
65	1
176	1
136	1
163	1
166	1
164	1
171	1
161	1
174	1
170	1
168	1
148	1
156	1
158	1
153	1
157	1
155	1
169	1
159	1
162	1
160	1
165	1
144	1
135	1
175	1
173	1
154	1
172	1
57	2
147	2
149	2
36	2
87	2
64	2
46	2
178	2
141	2
6	2
14	2
29	2
409	2
181	2
139	2
145	2
63	2
40	2
30	2
143	2
51	2
53	2
34	2
45	2
60	2
50	2
5	2
2	2
15	2
31	2
140	2
150	2
151	2
152	2
19	2
18	2
11	2
12	2
138	2
137	2
10	2
69	2
255	3
385	3
301	4
349	4
376	4
289	4
313	4
323	4
326	4
285	4
381	4
359	4
254	4
358	4
357	4
355	4
183	4
387	4
275	4
330	4
356	4
348	4
197	4
280	4
352	4
291	4
209	4
267	4
347	4
390	4
303	4
377	4
363	4
333	4
295	4
297	4
238	4
239	4
314	4
204	4
270	4
343	4
402	4
334	4
353	4
322	4
351	4
306	4
311	4
325	4
244	4
328	4
230	4
232	4
229	4
354	4
221	4
213	4
346	4
327	4
388	4
261	4
248	4
403	4
395	4
350	4
361	4
398	4
292	4
201	4
369	4
281	4
362	4
378	4
245	4
258	4
367	4
272	4
187	4
286	4
366	4
364	4
368	4
365	4
288	4
85	4
167	4
227	4
320	4
340	4
342	4
302	4
296	4
308	4
374	4
373	4
278	4
279	4
132	4
287	4
380	4
329	4
294	4
277	4
259	4
257	4
260	4
282	4
284	4
198	4
237	4
78	4
27	4
300	4
252	4
194	4
200	4
243	4
345	4
298	4
317	4
266	4
273	4
263	4
309	4
307	4
319	4
202	4
274	4
184	4
185	4
256	4
99	4
59	4
249	4
293	4
336	4
220	4
224	4
393	4
331	4
338	4
324	4
262	4
383	4
310	4
318	4
207	4
195	4
401	4
394	4
250	4
223	4
190	4
241	4
58	4
131	4
130	4
16	4
205	4
339	4
271	4
186	4
269	4
208	4
247	4
214	4
203	4
276	4
370	4
304	4
216	4
253	4
35	4
56	4
75	4
83	4
7	4
4	4
26	4
38	4
142	4
66	4
379	4
206	4
226	4
225	4
231	4
360	4
211	4
332	4
384	4
264	4
389	4
341	4
344	4
234	4
235	4
236	4
42	4
93	4
32	4
95	4
33	4
49	4
74	4
43	4
0	4
3	4
25	4
17	4
28	4
400	4
337	4
397	4
335	4
268	4
316	4
386	4
404	4
196	4
233	4
290	4
84	4
91	4
90	4
127	4
121	4
125	4
100	4
73	4
76	4
54	4
113	4
179	4
9	4
13	4
98	4
41	4
39	4
1	4
23	4
215	4
228	4
299	4
321	4
391	4
212	4
77	4
47	4
52	4
82	4
107	4
110	4
94	4
86	4
109	4
180	4
62	4
71	4
199	4
218	4
246	4
240	4
128	4
122	4
79	4
117	4
115	4
134	4
97	4
133	4
21	4
105	4
118	4
22	4
61	4
67	4
217	4
191	4
222	4
405	4
37	4
129	4
81	4
88	4
89	4
219	4
372	4
375	4
101	4
80	4
120	4
96	4
102	4
119	4
20	4
92	4
111	4
124	4
116	4
188	4
315	4
312	4
242	4
210	4
399	4
114	4
106	4
126	4
123	4
182	4
193	4
283	4
305	4
265	4
396	4
392	4
103	4
104	4
24	4
112	4
192	4
382	4
189	4
406	5
371	5
408	5
251	5
407	5
