SequenceName	ClusterNumber
243	-1
187	1
151	1
163	1
195	1
196	1
238	1
150	1
232	1
184	1
126	1
191	1
146	1
147	1
186	1
189	1
125	1
124	1
154	1
209	1
211	1
188	1
190	1
155	1
153	1
169	2
110	2
114	2
113	2
112	2
108	2
111	2
107	2
109	2
115	2
117	2
116	2
193	3
120	3
1	3
0	3
119	3
121	3
207	4
192	4
16	4
239	4
240	4
237	4
236	4
235	4
19	5
15	5
21	5
224	5
208	-1
81	6
80	6
79	6
210	6
234	6
84	7
82	7
83	7
85	7
18	8
17	8
174	8
176	8
177	8
179	8
220	8
181	8
175	8
180	8
172	8
173	8
182	8
178	8
183	8
37	9
249	9
227	9
250	9
248	9
185	9
251	9
145	10
149	10
76	10
87	10
89	10
223	10
233	10
75	10
118	10
74	10
206	10
92	10
91	10
204	10
72	10
71	10
97	10
95	10
86	10
148	10
94	10
73	10
101	10
217	10
38	10
90	10
88	10
98	10
100	10
93	10
96	10
244	11
245	11
242	11
246	11
241	11
133	12
134	12
65	12
69	12
67	12
66	12
70	12
135	12
136	12
64	12
63	12
59	12
68	12
60	12
48	12
57	12
61	12
46	12
202	12
42	12
45	12
54	12
198	12
56	12
49	12
62	12
58	12
47	12
55	12
53	12
52	12
43	12
51	12
50	12
164	12
44	12
77	13
141	13
139	13
137	13
138	13
140	13
194	13
168	13
144	13
143	13
142	13
203	14
226	14
131	14
132	14
20	14
99	14
130	14
129	14
127	14
128	14
166	14
165	14
197	-1
247	15
252	15
157	16
158	16
156	16
159	16
170	17
103	17
229	17
228	17
104	17
102	17
105	17
106	17
33	18
32	18
219	18
205	18
10	18
9	18
123	18
40	18
2	18
7	18
152	18
122	18
218	18
41	18
3	18
13	18
8	18
6	18
11	18
171	18
12	18
31	18
4	18
5	18
26	18
22	18
24	18
29	18
27	18
167	18
28	18
23	18
30	18
231	19
200	19
199	19
201	19
25	20
39	20
78	20
161	20
162	20
160	20
225	20
35	21
36	21
230	21
34	21
14	22
213	22
212	22
214	22
216	22
221	22
222	22
215	22
