SequenceName	ClusterNumber
641	-1
645	1
643	1
302	-1
684	2
630	2
436	2
435	2
437	2
440	2
438	2
439	2
290	2
298	2
293	2
299	2
292	2
693	2
291	2
294	2
296	2
301	2
297	2
295	2
362	-1
648	3
300	3
367	-1
608	4
600	4
610	4
598	4
602	4
599	4
606	4
603	4
611	4
607	4
441	5
442	5
605	5
356	5
601	-1
637	-1
464	6
462	6
604	7
609	7
361	8
364	8
355	8
359	8
360	8
463	9
354	9
363	9
368	9
369	9
365	9
303	9
357	9
358	9
366	9
612	-1
289	-1
680	10
679	10
676	11
672	11
677	11
674	11
675	11
678	11
673	-1
426	12
427	12
703	-1
704	-1
452	13
454	13
456	14
457	14
451	14
449	-1
450	15
455	15
458	15
459	15
453	-1
656	-1
653	-1
626	16
634	16
624	17
627	17
691	18
625	18
632	-1
633	-1
692	-1
698	-1
695	19
696	19
702	19
700	19
699	19
665	-1
697	20
701	20
469	-1
649	-1
658	21
655	21
661	21
651	21
663	21
659	21
654	21
660	21
662	21
657	21
652	21
424	-1
549	22
550	22
422	23
421	23
420	24
418	24
417	24
423	24
419	24
77	-1
667	25
668	25
548	-1
156	-1
152	26
154	26
150	26
595	27
588	27
589	27
590	27
586	27
592	27
591	27
593	27
594	27
596	27
587	27
153	28
155	28
151	28
351	29
350	29
468	-1
278	-1
282	30
283	30
254	31
280	31
277	32
433	32
281	32
620	32
276	32
279	-1
184	33
186	33
183	33
69	33
182	33
185	33
688	-1
207	34
209	34
215	34
216	34
193	35
217	35
187	35
200	35
190	36
210	36
199	36
208	36
194	37
197	37
191	37
202	37
192	37
206	37
188	37
201	37
552	37
195	37
211	37
196	37
613	-1
205	38
204	38
203	38
198	38
213	38
212	38
214	-1
636	39
189	39
470	40
393	40
394	40
629	-1
664	-1
271	-1
631	-1
352	-1
621	-1
582	-1
432	41
447	41
266	42
260	42
268	42
263	43
265	43
267	43
264	43
262	43
261	43
398	44
72	44
686	-1
465	-1
399	-1
259	45
257	45
585	45
256	46
258	46
181	-1
176	47
177	47
178	47
175	47
179	47
180	47
71	-1
392	48
553	48
382	49
70	49
385	49
391	49
390	49
373	50
372	50
379	50
375	50
374	50
371	50
383	50
376	50
381	50
389	50
380	50
378	50
386	50
387	50
384	50
377	50
370	50
388	-1
467	-1
443	51
445	51
446	51
444	51
618	51
396	51
705	51
395	51
68	-1
431	-1
683	52
272	52
689	-1
448	-1
547	-1
518	53
517	53
149	54
64	54
60	54
67	54
142	54
173	54
62	54
146	54
164	54
163	54
92	54
91	54
144	54
140	54
63	54
172	54
145	54
90	54
61	54
170	54
171	54
143	54
147	54
141	55
88	55
120	56
160	56
125	56
121	56
100	56
116	56
139	56
158	56
136	56
138	56
126	56
134	56
130	56
107	56
135	56
133	56
113	57
132	57
123	57
86	57
131	57
157	57
106	57
137	57
111	57
124	57
95	57
110	57
119	57
98	58
108	58
103	58
93	58
109	58
167	58
105	58
128	58
99	58
94	58
400	58
96	58
115	58
112	58
102	58
401	58
117	58
101	59
104	59
161	60
87	60
129	60
127	60
114	60
97	60
118	60
460	60
122	60
159	60
236	61
227	61
243	61
228	61
241	61
89	61
231	61
219	62
220	62
230	62
162	62
223	62
225	62
244	63
249	63
250	63
234	63
246	63
229	63
238	63
248	63
221	63
239	63
237	63
232	63
233	63
242	63
218	63
240	63
235	63
226	63
247	63
251	-1
349	64
83	64
224	64
245	64
222	64
461	65
84	65
65	65
59	65
169	66
168	66
166	66
165	66
66	-1
148	-1
85	-1
551	-1
397	-1
471	-1
472	67
474	67
537	68
534	68
542	68
533	68
541	68
536	68
538	68
496	68
543	68
501	68
484	68
530	68
531	68
525	69
527	69
481	69
492	69
491	69
493	69
490	69
483	69
529	69
535	69
528	69
494	69
532	69
669	-1
330	70
323	70
304	71
319	71
341	71
315	71
305	71
307	71
334	71
314	71
313	71
308	71
320	71
316	71
337	72
327	72
321	72
329	72
325	72
328	72
338	-1
322	73
310	73
317	73
311	73
318	73
332	74
345	74
331	74
340	74
326	74
336	74
324	74
344	74
348	74
333	74
309	74
306	74
343	74
312	74
335	74
346	75
342	75
546	-1
339	76
347	76
524	77
523	77
526	77
539	77
540	77
544	77
482	77
487	77
485	-1
510	78
515	78
506	78
514	78
497	78
495	78
511	78
488	78
498	78
512	78
513	78
508	78
502	78
475	78
509	78
476	78
545	78
478	78
479	78
500	78
503	78
507	78
504	78
477	78
499	78
480	78
473	78
505	78
489	78
434	-1
81	79
82	79
80	79
685	-1
415	-1
614	-1
486	-1
288	-1
274	-1
670	-1
413	80
409	80
406	81
405	81
410	81
404	81
408	81
403	82
412	82
414	82
285	83
286	83
284	83
411	84
407	84
270	-1
255	-1
522	-1
617	-1
520	85
287	85
75	-1
681	-1
74	-1
516	-1
430	86
428	86
619	87
429	87
57	-1
56	88
55	88
51	88
671	-1
353	89
174	89
275	89
54	-1
273	-1
52	90
53	90
50	90
48	90
49	90
76	-1
42	91
46	91
58	-1
29	-1
27	92
3	92
28	92
2	92
26	92
16	-1
41	-1
10	93
4	93
25	93
23	93
11	93
6	93
7	93
19	93
36	93
24	93
18	93
17	94
21	94
22	94
30	94
0	94
1	94
12	94
34	94
20	94
5	94
13	94
35	94
31	94
43	-1
425	95
79	95
40	-1
73	-1
682	-1
44	-1
47	-1
45	-1
14	96
33	96
38	96
15	96
9	96
37	96
8	96
32	96
39	-1
466	-1
580	-1
574	97
566	97
572	97
623	97
561	-1
556	98
576	98
568	98
578	99
622	99
571	99
567	99
577	99
579	99
563	99
560	100
573	100
570	100
562	100
581	100
565	100
575	100
564	100
557	100
569	100
555	100
559	100
558	100
554	100
597	-1
416	101
584	101
583	101
615	102
616	102
690	103
635	103
252	104
253	104
78	-1
694	-1
521	-1
269	-1
402	-1
628	-1
666	-1
650	-1
647	-1
644	-1
646	105
519	105
687	105
640	105
638	105
642	105
639	105
