SequenceName	ClusterNumber
198	-1
163	1
164	1
167	-1
165	2
166	2
239	-1
168	3
169	3
162	4
161	4
160	4
158	5
157	5
159	5
156	5
224	6
223	6
237	-1
221	-1
226	7
220	7
222	-1
212	8
207	8
200	8
202	9
199	9
203	9
213	9
211	9
208	9
210	9
209	9
205	9
206	9
215	9
214	9
235	-1
228	10
230	10
236	10
233	10
229	-1
227	11
231	11
232	11
234	11
216	-1
201	-1
151	-1
153	12
155	12
152	12
154	12
150	12
238	-1
204	-1
134	-1
140	13
139	13
137	13
142	13
136	13
144	13
141	13
138	13
143	13
129	14
145	14
133	14
135	15
130	15
131	15
132	15
146	-1
149	16
148	16
147	-1
194	17
193	17
192	-1
177	18
190	18
187	18
185	18
186	-1
188	-1
181	-1
189	-1
184	-1
183	-1
171	-1
176	-1
218	-1
179	19
217	19
182	-1
173	20
172	20
180	20
175	20
174	-1
178	-1
170	-1
219	-1
191	-1
225	-1
196	-1
197	21
195	21
64	-1
65	-1
61	22
63	22
62	22
59	22
60	22
25	-1
125	-1
124	-1
127	-1
121	23
123	23
122	23
126	-1
3	24
1	24
4	24
21	25
23	25
18	-1
17	-1
9	26
8	26
15	26
11	26
24	27
26	27
19	27
22	27
27	27
16	-1
10	28
30	28
6	28
0	28
5	28
7	28
2	28
14	28
13	28
28	29
20	29
12	-1
32	-1
34	-1
33	-1
39	-1
53	30
56	30
55	30
38	30
44	30
43	30
52	30
36	30
57	30
54	30
41	30
40	31
29	31
46	31
45	31
48	31
47	31
58	-1
49	32
50	32
51	32
37	-1
31	-1
128	-1
35	33
42	33
93	-1
92	-1
98	-1
97	-1
103	34
94	34
106	34
99	35
102	35
119	35
104	36
101	36
107	36
66	36
105	36
96	36
95	36
100	36
111	-1
120	37
108	37
80	-1
69	38
118	38
113	38
109	38
117	38
112	38
110	38
114	38
116	38
115	38
67	-1
72	39
81	39
75	39
71	39
88	39
91	39
78	39
90	39
82	39
86	39
89	39
83	39
87	39
74	39
77	39
84	39
68	39
73	39
85	39
70	39
79	-1
76	-1
