SequenceName	ClusterNumber
1020	1
1019	1
1205	1
1204	1
975	1
1206	1
1021	1
1018	1
1069	2
1067	2
1068	2
966	3
1150	3
964	3
913	3
965	3
934	3
918	3
919	3
922	3
917	3
915	3
928	3
916	3
920	3
914	3
921	3
961	3
968	3
1111	3
1182	4
1153	4
930	4
967	4
969	4
1151	4
1152	4
937	4
972	4
933	5
927	5
932	5
924	5
926	5
925	5
963	5
962	5
1293	6
1292	6
1295	6
1422	6
1288	6
1345	6
1339	6
1418	6
1347	6
1332	6
1343	6
1344	6
1331	6
1336	6
1369	6
1372	6
1370	6
1346	6
1294	6
1291	6
1285	6
1289	6
1368	6
1284	6
1287	6
1342	6
1286	6
1371	6
1419	6
1340	6
1335	6
1421	6
1348	6
1338	6
1341	6
1420	6
1337	6
1290	6
1376	-1
1272	7
1334	7
1233	7
1221	7
1377	7
1385	7
1220	7
1463	-1
1392	8
1404	8
1401	8
1402	8
1398	8
1396	8
1390	8
1397	8
1393	8
1395	8
1320	8
1394	8
1399	8
1384	8
1314	8
1403	8
1405	8
1382	8
1400	8
1319	9
1281	9
1183	9
1125	9
1044	9
1109	9
1103	9
1389	9
1278	9
1105	9
1275	9
1274	9
1049	9
1041	9
1104	9
1106	9
1107	9
1238	10
1413	10
1415	10
1210	10
1207	10
1186	10
1209	10
1208	10
1279	10
1187	10
1189	10
1188	10
1135	11
1114	11
1113	11
1117	11
1177	11
1201	11
1181	11
1124	11
1190	11
1130	11
1120	11
1321	11
1112	11
1115	11
1148	11
1350	11
1351	11
1196	11
1412	11
1140	11
1141	11
1116	11
1122	11
1121	11
1276	11
1192	11
1178	11
1136	11
1138	11
1123	11
1184	11
1271	11
1277	11
1173	11
1137	11
1195	11
1194	11
1193	11
1127	11
1131	11
1118	11
1202	11
1175	11
1191	11
1139	11
1180	11
1134	11
1146	11
1145	11
1326	11
1132	11
1200	11
1197	11
1179	11
1198	11
1199	11
1149	11
1176	11
1144	11
1147	11
1126	11
1133	11
1142	11
1143	11
1174	11
1129	11
1270	12
1172	12
1224	12
1223	12
1226	12
1222	12
1225	12
1108	13
1043	13
1229	13
1048	13
1119	13
1282	13
1333	13
1414	13
1046	13
1128	13
1042	13
1045	13
1047	13
1329	14
1307	14
1328	14
1327	14
1298	14
1302	14
1303	14
1300	14
1297	14
1299	14
1301	14
1309	14
1310	14
1308	14
1306	14
1305	14
1312	14
1311	14
1313	14
1304	14
1440	15
1442	15
1438	15
1437	15
1439	15
1441	15
1435	15
1436	15
1444	16
1446	16
1452	16
1447	16
1443	16
1445	16
1462	16
1453	16
1448	16
1459	16
1449	16
1455	16
1461	16
1457	16
1450	16
1460	16
1454	16
1451	16
1456	16
1458	16
1425	-1
1323	17
1379	17
1325	17
1381	17
1324	17
1322	17
1380	17
1330	18
1283	18
1280	18
1375	19
1374	19
1424	19
1423	19
1387	-1
1215	20
1217	20
1216	20
1213	20
1214	20
102	21
45	21
19	21
54	21
89	21
394	21
262	21
7	21
0	21
31	21
6	21
112	21
119	21
392	21
390	21
395	21
393	21
539	21
391	21
163	21
171	21
13	21
78	21
266	21
261	21
162	21
396	21
757	21
217	21
82	21
73	21
3	21
389	21
210	21
265	21
170	21
267	21
269	21
158	21
264	21
258	21
259	21
260	21
204	21
121	21
268	21
270	21
37	22
367	22
103	22
36	22
660	22
29	22
513	22
192	23
236	23
364	23
249	23
511	23
365	23
366	23
615	23
203	23
304	23
20	23
90	23
71	23
330	23
401	23
248	23
1	23
433	23
432	23
181	23
184	23
124	23
180	23
382	23
235	23
120	23
125	23
383	23
229	23
2	23
227	23
255	23
326	23
230	23
21	23
245	23
232	23
186	23
5	23
350	23
33	23
139	23
84	23
233	23
381	23
150	23
542	23
151	23
242	23
201	23
225	23
69	23
142	23
722	23
26	23
40	23
48	23
99	23
276	23
107	23
39	23
758	23
51	23
52	23
67	23
380	23
331	23
612	23
325	23
97	23
140	23
93	23
240	23
128	23
98	23
87	23
334	23
263	23
72	23
215	23
66	23
729	23
172	23
343	23
25	23
257	23
68	23
153	23
741	23
133	23
113	23
156	23
154	23
709	23
144	23
117	23
241	23
127	23
131	23
34	23
136	23
59	23
440	23
88	23
63	23
61	23
317	23
41	23
308	23
361	23
358	23
431	23
62	23
659	23
17	23
79	23
814	23
384	23
195	23
220	23
182	23
38	23
130	23
81	23
374	23
611	23
581	23
808	23
541	23
132	23
271	23
316	23
116	23
538	23
379	23
616	23
351	23
106	23
312	23
520	23
74	23
223	23
101	23
293	23
307	23
540	23
280	23
328	23
44	23
27	23
114	23
362	23
441	23
278	23
175	23
313	23
9	23
110	23
318	23
146	23
32	23
178	23
147	23
122	23
435	23
228	23
234	23
221	23
341	23
256	23
338	23
237	23
354	23
96	23
60	23
85	23
64	23
65	23
129	23
100	23
75	23
138	23
279	23
86	23
274	23
55	23
83	23
109	23
126	23
108	23
111	23
311	23
614	23
22	23
222	23
42	23
49	23
123	23
152	23
582	23
92	23
231	23
426	23
224	23
740	23
4	23
323	23
243	23
91	23
76	23
43	23
286	23
16	23
309	23
137	23
94	23
291	23
12	23
105	23
115	23
135	23
580	23
23	23
18	23
58	23
53	23
141	23
434	23
579	23
70	23
80	23
95	23
200	23
281	23
587	23
160	23
226	23
238	23
306	23
46	23
145	23
143	23
285	23
284	23
295	23
294	23
11	23
